index,genres,id,original_language,title
1068,Adventure,2119,en,Days of Thunder
1069,Action Romance War,744,en,Top Gun
1070,Action Comedy,136311,en,American Strays
1071,Drama,221,en,Rebel Without a Cause
1072,Drama,702,en,A Streetcar Named Desire
1073,Horror,25750,en,Children of the Corn IV: The Gathering
1074,Documentary,17642,en,The Leopard Son
1075,Comedy,427043,de,Charms  Incidents
1076,Crime Drama,146341,es,Bird of Prey
1077,Documentary,9305,fr,Microcosmos
1078,Comedy,37616,en,Palookaville
1079,Comedy,11112,en,The Associate
1080,Crime Drama,21612,en,The Funeral
1081,Comedy Horror,141210,en,The Sleepover
1082,Drama,102461,fr,A Single Girl
1083,Drama,36998,fr,The Eighth Day
1084,Action Adventure Drama Western,200383,en,North Star
1085,Drama,116844,en,Drunks
1086,Drama,1630,en,The People vs. Larry Flynt
1087,Comedy,26626,en,Glory Daze
1088,Documentary,124837,en,A Perfect Candidate
1089,Drama,11816,en,On Golden Pond
1090,Mystery Comedy Crime,11843,en,The Return of the Pink Panther
1091,Comedy Fantasy Family,10379,en,Drop Dead Fred
1092,Adventure Action Thriller Science Fiction,2756,en,The Abyss
1093,Horror,790,en,The Fog
1094,Science Fiction Action,1103,en,Escape from New York
1095,Drama Horror,11298,en,The Howling
1096,Drama,4480,fr,Jean de Florette
1097,Drama,4481,fr,Manon of the Spring
1098,Drama,49688,es,Johnny 100 Pesos
1099,Comedy,10765,en,Private Benjamin
1100,Adventure Comedy Fantasy,762,en,Monty Python and the Holy Grail
1101,Romance Drama,44497,en,Hustler White
1102,,85588,en,Dadetown
1103,Drama,278621,en,Everything Relative
1104,Drama,99479,en,Entertaining Angels - The Dorothy Day Story
1105,Comedy Crime,55049,en,Three Lives and Only One Death
1106,Documentary,124829,en,The Line King: The Al Hirschfeld Story
1107,Documentary,79306,de,Snowriders
1108,,356054,en,Curtiss Charm
1109,Documentary,10548,en,When We Were Kings
1110,Animation Comedy Family,531,en,The Wrong Trousers
1111,Documentary,104931,fr,JLG/JLG: Self-Portrait in December
1112,Mystery Crime Drama History Romance,4483,fr,The Return of Martin Guerre
1113,Animation Drama Fantasy,18919,cs,Faust
1114,Drama Thriller,31556,en,He Walked by Night
1115,Crime,26167,en,Raw Deal
1116,Thriller Crime,26174,en,T-Men
1117,Drama,61461,it,The Children Are Watching Us
1118,Drama,117500,en,Pastoral Symphony
1119,,218713,en,Here Comes Cookie
1120,,217802,en,Love In Bloom
1121,Comedy,127973,en,Six of a Kind
1122,Drama History War,659,de,The Tin Drum
1123,Drama Comedy,30892,en,The Ruling Class
1124,Drama Comedy,86369,fr,Mina Tannenbaum
1125,Comedy Drama,8074,fr,2 or 3 Things I Know About Her
1126,Drama,124676,en,The Bloody Child
1127,Comedy,38554,en,Dear God
1128,Horror,49763,en,Bad Moon
1129,Documentary,41326,en,American Dream
1130,Action,36555,en,Best of the Best 3: No Turning Back
1131,Comedy Drama,10608,en,Bob Roberts
1132,Drama Romance,11216,it,Cinema Paradiso
1133,Crime Drama,7452,en,"The Cook, the Thief, His Wife & Her Lover"
1134,Comedy,64567,fr,Dead Tired
1135,Comedy Science Fiction Fantasy,892,fr,Delicatessen
1136,Drama Thriller,1600,fr,The Double Life of Veronique
1137,Romance Drama,26561,en,Enchanted April
1138,Drama War,975,en,Paths of Glory
1139,Crime Drama,18129,en,The Grifters
1140,Comedy Foreign,54405,en,Hear My Song
1141,Western,150823,en,The Shooter
1142,Drama Romance War,409,en,The English Patient
1143,Comedy Romance War,38251,it,Mediterraneo
1144,Drama,10161,en,My Left Foot: The Story of Christy Brown
1145,Drama,1412,en,"Sex, Lies, and Videotape"
1146,Drama,41768,en,Passion Fish
1147,Comedy Drama Romance,10409,en,Strictly Ballroom
1148,Mystery Documentary Crime,14285,en,The Thin Blue Line
1149,Comedy Crime Drama Romance,2469,es,Tie Me Up! Tie Me Down!
1150,Documentary Music,10174,en,Madonna: Truth or Dare
1151,Documentary,31225,en,Paris is Burning
1152,Drama,510,en,One Flew Over the Cuckoos Nest
1153,Comedy,11455,en,Up in Smoke
1154,Adventure Action Science Fiction,1891,en,The Empire Strikes Back
1155,Adventure Family Fantasy Comedy Romance,2493,en,The Princess Bride
1156,Adventure Action,85,en,Raiders of the Lost Ark
1157,Comedy Science Fiction,68,en,Brazil
1158,Horror Action Thriller Science Fiction,679,en,Aliens
1159,Western,429,it,"The Good, the Bad and the Ugly"
1160,Comedy Drama,13446,en,Withnail & I
1161,Drama,389,en,12 Angry Men
1162,Adventure Drama History War,947,en,Lawrence of Arabia
1163,Science Fiction Drama,185,en,A Clockwork Orange
1164,Crime Drama,595,en,To Kill a Mockingbird
1165,Drama War,28,en,Apocalypse Now
1166,Western,335,it,Once Upon a Time in the West
1167,Adventure Action Science Fiction,1892,en,Return of the Jedi
1168,Drama Fantasy Romance,144,de,Wings of Desire
1169,Thriller Mystery,1092,en,The Third Man
1170,Drama Crime,769,en,GoodFellas
1171,Horror Action Thriller Science Fiction,348,en,Alien
1172,Fantasy Horror Comedy,766,en,Army of Darkness
1173,Adventure Drama Romance,175,fr,The Big Blue
1174,Action Drama History,11645,ja,Ran
1175,Action Crime Drama Thriller,10835,cn,The Killer
1176,Drama Horror Thriller,539,en,Psycho
1177,Music Comedy Action Crime,525,en,The Blues Brothers
1178,Drama Crime,240,en,The Godfather: Part II
1179,Drama War,600,en,Full Metal Jacket
1180,Adventure Animation Comedy Science Fiction Family,530,en,A Grand Day Out
1181,War Drama History Action Romance,10705,en,Henry V
1182,Drama History Music,279,en,Amadeus
1183,Comedy Drama Romance,3109,en,The Quiet Man
1184,Drama Crime,311,en,Once Upon a Time in America
1185,Drama,1578,en,Raging Bull
1186,Comedy Drama Romance,703,en,Annie Hall
1187,Drama History,9549,en,The Right Stuff
1188,Drama Science Fiction Thriller,1398,ru,Stalker
1189,Action Drama History War Adventure,387,de,Das Boot
1190,Comedy Crime Drama,9277,en,The Sting
1191,Comedy Drama Romance,343,en,Harold and Maude
1192,Drama Comedy,37291,en,Trust
1193,Fantasy Drama,490,sv,The Seventh Seal
1194,Comedy Drama,11235,en,Local Hero
1195,Action Thriller Science Fiction,218,en,The Terminator
1196,Horror Comedy,763,en,Braindead
1197,War,9665,en,Glory
1198,Comedy Drama,18971,en,Rosencrantz & Guildenstern Are Dead
1199,Comedy Drama Romance,696,en,Manhattan
1200,Drama Thriller Crime,379,en,Millers Crossing
1201,Drama,207,en,Dead Poets Society
1202,Drama,37247,en,The Graduate
1203,Drama Thriller Crime,1480,en,Touch of Evil
1204,Action Thriller,9322,fr,La Femme Nikita
1205,Drama History War,826,en,The Bridge on the River Kwai
1206,Fantasy Drama,422,it,8½
1207,Crime Drama Mystery Thriller,829,en,Chinatown
1208,Drama Science Fiction Thriller,828,en,The Day the Earth Stood Still
1209,Action Adventure Drama Western,3090,en,The Treasure of the Sierra Madre
1210,Action Comedy Horror Science Fiction,9964,en,Bad Taste
1211,Comedy,3063,en,Duck Soup
1212,Comedy,13667,en,Better Off Dead...
1213,Horror Thriller,694,en,The Shining
1214,Crime Drama,235,en,Stand by Me
1215,Drama Action Thriller Crime,832,de,M
1216,Horror Comedy Fantasy,765,en,Evil Dead II
1217,Adventure Drama History Thriller War,5925,en,The Great Escape
1218,Drama War,11778,en,The Deer Hunter
1219,Action Drama Music Thriller,4485,fr,Diva
1220,Romance Fantasy Drama Comedy,137,en,Groundhog Day
1221,Western,33,en,Unforgiven
1222,Mystery Thriller,982,en,The Manchurian Candidate
1223,Music Drama,8428,en,Pump up the Volume
1224,Comedy Crime,212,en,Arsenic and Old Lace
1225,Adventure Comedy Science Fiction Family,105,en,Back to the Future
1226,Drama Comedy,1633,en,Fried Green Tomatoes
1227,Drama History War,11202,en,Patton
1228,Crime Drama Comedy,1554,en,Down by Law
1229,Science Fiction Animation,149,ja,Akira
1230,Adventure Action Fantasy,8009,en,Highlander
1231,Crime Drama,903,en,Cool Hand Luke
1232,Drama Comedy History Romance,11673,fr,Cyrano de Bergerac
1233,Comedy Science Fiction,3034,en,Young Frankenstein
1234,Comedy Drama,339,en,Night on Earth
1235,Drama,10404,zh,Raise the Red Lantern
1236,Comedy,914,en,The Great Dictator
1237,Animation Family Music,756,en,Fantasia
1238,Western,288,en,High Noon
1239,Crime Drama Mystery Thriller,910,en,The Big Sleep
1240,Thriller Comedy Drama,2640,en,Heathers
1241,Science Fiction Drama Fantasy Romance,16633,en,Somewhere in Time
1242,Action Adventure Drama History,665,en,Ben-Hur
1243,Comedy Music,11031,en,This Is Spinal Tap
1244,Documentary Music,11314,en,Koyaanisqatsi
1245,Drama Romance,15143,en,Some Kind of Wonderful
1246,Adventure Action,89,en,Indiana Jones and the Last Crusade
1247,Comedy Drama,10322,en,Being There
1248,Drama History,783,en,Gandhi
1249,Comedy Romance,10644,en,The Unbearable Lightness of Being
1250,Drama Romance,11257,en,A Room with a View
1251,Comedy Romance,14370,en,Real Genius
1252,Music,12104,en,Pink Floyd: The Wall
1253,War Drama History,625,en,The Killing Fields
1254,Drama Comedy,8816,sv,My Life as a Dog
1255,Adventure Science Fiction Action,830,en,Forbidden Planet
1256,Drama Fantasy,2323,en,Field of Dreams
1257,Adventure Drama,983,en,The Man Who Would Be King
1258,History Drama Western Crime,642,en,Butch Cassidy and the Sundance Kid
1259,Drama,655,en,"Paris, Texas"
1260,Thriller Drama Science Fiction Action,10341,de,Until the End of the World
1261,Comedy Romance Drama,639,en,When Harry Met Sally...
1262,,266022,en,I Shot a Man in Vegas
1263,,168450,en,Parallel Sons
1264,Documentary Music,30180,en,Hype!
1265,Family Comedy,31388,en,Santa with Muscles
1266,Drama Romance,41801,en,Female Perversions
1267,Drama Action Comedy Crime,66034,en,Mad Dog Time
1268,Romance Comedy,348138,en,Breathing Room
1269,Documentary,96288,en,Paris Was a Woman
1270,Comedy,61536,en,Im Not Rappaport
1271,Comedy Romance,18762,en,Blue Juice
1272,,331367,en,Kids of Survival
1273,Science Fiction Action Horror,8077,en,Alien³
1274,Horror Comedy,814,en,An American Werewolf in London
1275,Horror,41671,en,Amityville: Its About Time
1276,Horror Thriller,27214,en,Amityville 3-D
1277,Horror,52263,en,Amityville: Dollhouse
1278,Horror,33519,en,Amityville: A New Generation
1279,Horror,16235,en,Amityville II: The Possession
1280,Drama Horror Thriller,11449,en,The Amityville Horror
1281,Horror,41848,en,The Amityville Curse
1282,Horror,25944,en,Blood for Dracula
1283,Horror Mystery,24913,en,April Fools Day
1284,Fantasy Drama Horror Thriller,49126,en,Audrey Rose
1285,Crime Drama Horror Mystery Thriller,32076,en,The Believers
1286,Horror,571,en,The Birds
1287,Horror Science Fiction,8851,en,The Blob
1288,Science Fiction Horror Comedy,37843,en,Blood Beach
1289,Horror Thriller,32146,en,Body Parts
1290,Thriller Horror,30346,en,The Body Snatcher
1291,Romance Horror,6114,en,Dracula
1292,Horror Science Fiction,229,en,Bride of Frankenstein
1293,Horror,13549,en,Burnt Offerings
1294,Drama Horror Thriller,9529,en,Candyman
1295,Crime Thriller,1598,en,Cape Fear
1296,Drama Thriller,11349,en,Cape Fear
1297,Horror Thriller,7340,en,Carrie
1298,Drama Fantasy Horror Thriller,6217,en,Cat People
1299,Horror,377,en,A Nightmare on Elm Street
1300,Fantasy Horror,653,de,Nosferatu
1301,Horror,28198,en,Vampire in Venice
1302,Horror Thriller,794,en,The Omen
1303,Crime Drama Thriller,31640,en,Blood and Wine
1304,Crime Drama Thriller,8744,en,Albino Alligator
1305,Comedy Drama Romance,25189,en,The Mirror Has Two Faces
1306,Drama Romance,145,da,Breaking the Waves
1307,Action Drama Horror Mystery Thriller,2212,en,Nightwatch
1308,Science Fiction Action Adventure Thriller,199,en,Star Trek: First Contact
1309,Drama,7863,en,Shine
1310,Drama,12498,en,Sling Blade
1311,Family Comedy,9279,en,Jingle All the Way
1312,Romance Drama,53234,it,Identification of a Woman
1313,Documentary Drama,17204,en,Paradise Lost: The Child Murders at Robin Hood Hills
1314,Fantasy Drama Comedy Science Fiction Romance Family,21539,en,The Preachers Wife
1315,Drama Thriller,85589,no,Zero Kelvin
1316,Comedy Drama Romance,12709,en,Ridicule
1317,Drama History,20539,en,The Crucible
1318,Comedy Family,11674,en,101 Dalmatians
1319,Drama,199512,it,The Forbidden Christ
1320,Drama Mystery,64900,fr,I Cant Sleep
1321,Action Thriller,1573,en,Die Hard 2
1322,Science Fiction Adventure Mystery,152,en,Star Trek: The Motion Picture
1323,Science Fiction Action Adventure Thriller,174,en,Star Trek VI: The Undiscovered Country
1324,Science Fiction Action Adventure Thriller,172,en,Star Trek V: The Final Frontier
1325,Action Adventure Science Fiction Thriller,154,en,Star Trek II: The Wrath of Khan
1326,Science Fiction Action Adventure Thriller,157,en,Star Trek III: The Search for Spock
1327,Science Fiction Adventure,168,en,Star Trek IV: The Voyage Home
1328,Action Fantasy,364,en,Batman Returns
1329,Crime Action Adventure Drama Western,11967,en,Young Guns
1330,Western Adventure,9086,en,Young Guns II
1331,Romance,621,en,Grease
1332,Comedy Drama Family Music Romance,9037,en,Grease 2
1333,Action Thriller,10173,en,Marked for Death
1334,Action Science Fiction Thriller,55687,en,Adrenalin: Fear the Rush
1335,Drama,168535,en,The Substance of Fire
1336,Action Thriller,8845,en,Under Siege
1337,Action Western,46681,en,Terror in a Texas Town
1338,Horror Thriller Adventure,578,en,Jaws
1339,Horror Thriller,579,en,Jaws 2
1340,Thriller Horror,17692,en,Jaws 3-D
1341,Comedy Drama,17795,en,My Fellow Americans
1342,Comedy Fantasy Science Fiction,75,en,Mars Attacks!
1343,Drama Comedy,13891,en,Citizen Ruth
1344,Comedy Drama Romance,9390,en,Jerry Maguire
1345,Comedy Crime,378,en,Raising Arizona
1346,Comedy Drama,10896,en,Tin Men
1347,Comedy Crime Drama,2322,en,Sneakers
1348,Drama,41240,en,Bastard Out of Carolina
1349,Drama Romance,26949,en,In Love and War
1350,Drama,9819,en,Marvins Room
1351,Drama,49799,en,Somebody Is Waiting
1352,History Drama,31908,en,Ghosts of Mississippi
1353,Drama Crime,46027,en,Night Falls on Manhattan
1354,Animation Comedy,3179,en,Beavis and Butt-Head Do America
1355,Drama Thriller,1802,fr,La Cérémonie
1356,Crime Horror Mystery,4232,en,Scream
1357,Action Adventure Drama History Romance War,9361,en,The Last of the Mohicans
1358,Comedy Drama Fantasy,2928,en,Michael
1359,Drama Romance Family Comedy,30285,en,The Evening Star
1360,Drama,10549,en,Hamlet
1361,Drama History,58102,en,Some Mothers Son
1362,Drama Romance,18451,en,The Whole Wide World
1363,Comedy,27265,en,Mother
1364,Romance Crime Drama,49935,fr,Thieves
1365,History Drama Music,8818,en,Evita
1366,Drama Romance,36758,en,The Portrait of a Lady
1367,Adventure Drama,36040,en,Walkabout
1368,Documentary Music,74239,en,Message to Love: The Isle of Wight Festival
1369,Action Drama Mystery Thriller Crime,9415,en,Murder at 1600
1370,Drama Thriller Documentary Romance Foreign,55146,en,Hearts and Minds
1371,Crime Drama TV Movie,303693,en,Inside
1372,Comedy Romance,12145,en,Fierce Creatures
1373,Action Adventure Comedy Family Romance,42424,en,Zeus & Roxanne
1374,Action Thriller Crime,34314,en,Turbulence
1375,Drama,2892,en,Angel Baby
1376,Action Adventure Comedy Crime Drama Thriller,9404,cn,First Strike
1377,Drama Action Comedy Thriller,85242,en,Underworld
1378,Action Comedy,9622,en,Beverly Hills Ninja
1379,Action Adventure Comedy Crime Thriller,8860,en,Metro
1380,Horror Thriller Science Fiction,197537,en,The Machine
1381,Drama Romance,66597,en,Falling in Love Again
1382,Drama,14832,en,The Cement Garden
1383,Action Adventure Thriller,9619,en,Dantes Peak
1384,Comedy,40506,en,Meet Wally Sparks
1385,Action Comedy,31000,en,Amos & Andrew
1386,Comedy Drama Romance,4104,en,Benny & Joon
1387,Drama Romance,26306,en,Prefontaine
1388,Documentary,203829,en,A Tickle in the Heart
1389,Drama Comedy Romance Foreign,43775,es,Guantanamera
1390,Action Comedy Romance,14908,en,McHales Navy
1391,Music Drama Comedy,784,cs,Kolya
1392,Crime Drama Comedy,12489,en,Gridlockd
1393,Documentary,168283,en,Fire on the Mountain
1394,Music Comedy,16448,en,Waiting for Guffman
1395,Drama War,55936,ru,Prisoner of the Mountains
1396,Comedy Romance,17894,en,The Beautician and the Beast
1397,Comedy Drama,28059,en,SubUrbia
1398,Comedy Foreign Romance,58911,en,Hotel de Love
1399,Action Comedy,17949,en,The Pest
1400,Drama Comedy Romance,1968,en,Fools Rush In
1401,Action Comedy Drama Foreign Romance,61563,en,Touch
1402,Crime Drama Thriller,66,en,Absolute Power
1403,Comedy Family,20735,en,That Darn Cat
1404,Comedy,11419,en,Vegas Vacation
1405,,333165,en,Unforgotten: Twenty-Five Years After Willowbrook
1406,Comedy Drama Romance,25796,en,That Old Feeling
1407,Drama Thriller Mystery,638,en,Lost Highway
1408,Drama History,25624,en,Rosewood
1409,Crime Drama Thriller,9366,en,Donnie Brasco
1410,Comedy,60083,fr,Salut cousin !
1411,Comedy,21915,en,Booty Call
1412,Documentary,90928,en,Rhyme & Reason
1413,Drama Romance,50091,en,Boys Life 2
1414,Crime Thriller Drama,18420,en,City of Industry
1415,Comedy Romance,19952,en,Best Men
1416,Comedy Family,9446,en,Jungle 2 Jungle
1417,Drama History Romance,28005,en,Kama Sutra - A Tale of Love
1418,Comedy Drama,9403,en,Private Parts
1419,Comedy Drama Romance,27322,en,Love Jones
1420,Thriller Action Romance Science Fiction Adventure,10003,en,The Saint
1421,Action Crime Drama Mystery Thriller,9311,en,Smillas Sense of Snow
1422,Comedy Drama,11844,en,The Van
1423,Drama Thriller Romance,884,en,Crash
1424,Comedy Drama Mystery,49806,en,The Daytrippers
1425,Comedy,1624,en,Liar Liar
1426,Drama Foreign,88423,en,The Quiet Room
1427,Drama,16052,en,Selena
1428,Crime Thriller Drama,4477,en,The Devils Own
1429,Animation Comedy Family Music,24662,en,Cats Dont Dance
1430,Action Comedy,18423,en,B.A.P.S.
1431,Comedy Romance,76996,it,Love and Other Catastrophes
1432,Action Adventure Family Fantasy Science Fiction Thriller,6499,en,Turbo: A Power Rangers Movie
1433,Drama Romance,50512,en,Anna Karenina
1434,Action Science Fiction,9405,en,Double Team
1435,Drama Romance,12723,en,Inventing the Abbotts
1436,Adventure Horror Thriller,9360,en,Anaconda
1437,Action Comedy Thriller Romance,9434,en,Grosse Pointe Blank
1438,Crime Drama Thriller,118991,en,Keys to Tulsa
1439,Romance Drama,21626,en,Kissed
1440,Comedy Crime,13982,en,8 Heads in a Duffel Bag
1441,Drama,93946,en,Hollow Reed
1442,War Drama History,77223,en,Paradise Road
1443,Drama Crime,31465,en,Traveller
1444,Drama Romance,12793,en,All Over Me
1445,Drama,102878,en,A Brothers Kiss
1446,Drama Comedy Romance Foreign,105763,fr,A Chef in Love
1447,Comedy,9611,en,Romy and Micheles High School Reunion
1448,Drama Foreign Romance,47694,zh,Temptress Moon
1449,Science Fiction Action Drama Thriller,10357,en,Volcano
1450,Comedy Drama,9977,en,Children of the Revolution
1451,Science Fiction Comedy Crime,816,en,Austin Powers: International Man of Mystery
1452,Drama Action Thriller,2163,en,Breakdown
1453,Romance Drama,124680,en,Broken English
1454,Comedy Drama Romance,16399,en,Commandments
1455,Drama,124843,en,Ripe
1456,Action Crime Drama Romance Thriller,31017,en,"Truth or Consequences, N.M."
1457,Drama,24645,en,The Turning
1458,Fantasy Family Action,49478,en,Warriors of Virtue
1459,Comedy Family,12499,en,Fathers Day
1460,Adventure Fantasy Action Thriller Science Fiction,18,en,The Fifth Element
1461,,68545,en,Intimate Relations
1462,Science Fiction Drama Comedy,1811,en,Nowhere
1463,Drama Romance,109614,en,Losing Chase
1464,Comedy Romance,60082,en,Sprung
1465,Drama Romance,105045,de,The Promise
1466,Drama Romance,53023,fr,Le Bonheur
1467,Drama,64802,de,Love! Valour! Compassion!
1468,Music Comedy Drama Romance,11239,ja,Shall We Dance?
1469,Adventure Family,50850,en,The Second Jungle Book: Mowgli & Baloo
1470,Comedy Drama,15321,en,Twin Town
1471,Comedy Romance,2058,en,Addicted to Love
1472,Comedy Romance Drama,9450,en,Brassed Off
1473,,125021,en,The Designated Mourner
1474,Adventure Action Science Fiction,330,en,The Lost World: Jurassic Park
1475,Drama Foreign,38523,fr,Ponette
1476,Comedy,16375,en,Schizopolis
1477,Drama Family,33660,en,Shiloh
1478,Drama,59232,en,The War at Home
1479,Comedy Drama Romance Fantasy,45671,en,Rough Magic
1480,Comedy Romance,17770,en,Trial and Error
1481,Adventure Comedy Family,15170,en,Buddy
1482,Action Thriller Crime,1701,en,Con Air
1483,,201445,en,Late Bloomers
1484,Drama Foreign Romance,26422,en,The Pillow Book
1485,Drama Romance,124642,en,To Have (Or Not)
1486,Action Adventure Thriller,1639,en,Speed 2: Cruise Control
1487,Crime Drama,49235,en,Squeeze
1488,Comedy Thriller,106129,en,Sudden Manhattan
1489,,291634,en,The Next Step
1490,Comedy Romance,107743,en,Wedding Bell Blues
1491,Action Crime Fantasy,415,en,Batman & Robin
1492,Comedy,47686,en,Dream with the Fishes
1493,Comedy Romance Drama,65889,en,Roseannas Grave
1494,Comedy Thriller,11103,en,Head Above Water
1495,Animation Family Fantasy Adventure Comedy Romance,11970,en,Hercules
1496,Drama,34941,en,The Last Time I Committed Suicide
1497,Drama Romance,407992,en,MURDER and murder
1498,Comedy Romance,8874,en,My Best Friends Wedding
1499,Science Fiction Horror Drama Thriller,17991,ja,Tetsuo II: Body Hammer
1500,Comedy,11956,fr,When the Cats Away
1501,Drama,266,fr,Contempt
1502,Action Crime Science Fiction Thriller,754,en,Face/Off
1503,Drama Romance,37567,en,Fall
1504,Drama Mystery Romance,43771,fa,Gabbeh
1505,Drama,124834,fr,Mondo
1506,Thriller,249358,fr,The Innocent Sleep
1507,Drama Comedy War,111367,en,For Ever Mozart
1508,Action Adventure Comedy Science Fiction,607,en,Men in Black
1509,Comedy Romance,18080,en,Out to Sea
1510,Family,38225,en,Wild America
1511,Adventure Comedy Family Fantasy,17834,en,A Simple Wish
1512,Drama Science Fiction Mystery,686,en,Contact
1513,Comedy Foreign Romance,65046,en,Love Serenade
1514,Action Drama,4421,en,G.I. Jane
1515,Adventure Fantasy Action,9387,en,Conan the Barbarian
1516,Adventure Comedy Family Romance,10603,en,George of the Jungle
1517,Action Crime Drama,2142,en,Cop Land
1518,Horror Science Fiction Mystery,8413,en,Event Horizon
1519,Action Adventure Fantasy Horror Science Fiction Thriller,10336,en,Spawn
1520,Comedy Family Drama,20737,en,Air Bud
1521,Comedy Romance,9413,en,Picture Perfect
1522,Comedy Drama,14585,en,In the Company of Men
1523,Adventure,18519,en,Free Willy 3: The Rescue
1524,Drama,49462,en,Career Girls
1525,Action Drama Mystery Thriller,8834,en,Conspiracy Theory
1526,Action Drama Thriller,9458,en,Desperate Measures
1527,Science Fiction Action Adventure,8854,en,Steel
1528,Drama Romance Thriller,38295,en,Shes So Lovely
1529,Crime Drama,22073,en,Hoodlum
1530,Adventure Comedy Drama Family,37244,en,Leave it to Beaver
1531,Fantasy Horror Thriller,4961,en,Mimic
1532,Action Adventure Comedy,9416,en,Money Talks
1533,Action Comedy Romance,26180,en,Excess Baggage
1534,Adventure Fantasy Action Science Fiction,17832,en,Kull the Conqueror
1535,Action Thriller,9772,en,Air Force One
1536,Drama Thriller,6072,en,One Eight Seven
1537,Action Adventure Thriller,1669,en,The Hunt for Red October
1538,Drama Romance,468,en,My Own Private Idaho
1539,Comedy,32519,en,"Kiss Me, Guido"
1540,Comedy Drama,108401,en,Star Maps
1541,Comedy Romance,10806,en,In & Out
1542,Action Adventure Drama,9433,en,The Edge
1543,Action Thriller,6623,en,The Peacemaker
1544,Crime Drama Mystery Thriller,2118,en,L.A. Confidential
1545,Adventure Drama History,978,en,Seven Years in Tibet
1546,Drama Mystery Thriller Crime,9437,en,Kiss the Girls
1547,Comedy Drama,29461,en,Soul Food
1548,Comedy Crime Drama Romance,56651,en,Kicked in the Head
1549,Horror,10351,en,Wishmaster
1550,Drama,66588,en,A Thousand Acres
1551,Drama Thriller Mystery,2649,en,The Game
1552,Action Adventure Crime Thriller,14289,en,Fire Down Below
1553,Thriller,10155,en,U Turn
1554,Drama Romance,75250,en,The Locusts
1555,Comedy Romance,20457,en,The Matchmaker
1556,Thriller Action Crime,18355,en,The Assignment
1557,Comedy Romance,33657,en,A Smile Like Yours
1558,Drama,55306,en,Ulees Gold
1559,Drama,68924,en,The Ice Storm
1560,Thriller,36434,en,Stag
1561,Comedy Drama Romance,2255,en,Chasing Amy
1562,Comedy Romance,28353,en,Def Jams How to Be a Player
1563,Comedy,9427,en,The Full Monty
1564,Comedy Drama,172545,en,Alive and Kicking
1565,Drama History Romance,17589,en,Mrs Brown
1566,Horror Thriller Mystery,3597,en,I Know What You Did Last Summer
1567,Drama Horror Mystery Thriller,1813,en,The Devils Advocate
1568,Comedy Family Science Fiction,36797,en,RocketMan
1569,Drama Action Thriller Crime,12628,en,Playing God
1570,Comedy Drama,33344,en,The House of Yes
1571,Documentary,25099,en,"Fast, Cheap & Out of Control"
1572,Drama Romance,45019,en,Washington Square
1573,Music Drama,63437,de,Telling Lies In America
1574,Documentary Music,62422,en,Year of the Horse
1575,Thriller Science Fiction Mystery Romance,782,en,Gattaca
1576,Fantasy Drama Mystery Family,29911,en,FairyTale: A True Story
1577,Horror Science Fiction Thriller,9827,en,Phantoms
1578,Drama Romance,1959,en,Swept from the Sea
1579,Documentary,251481,en,Wonderland
1580,Fantasy Drama Comedy Thriller Science Fiction Romance,8067,en,A Life Less Ordinary
1581,Romance Crime Drama,125052,en,Hurricane Streets
1582,Drama,45153,en,Eves Bayou
1583,Action Adventure Mystery Thriller,10871,en,Switchback
1584,Action Drama,14398,en,Gang Related
1585,Action Comedy,10890,en,Stripes
1586,Drama,99002,fr,Nenette and Boni
1587,Comedy,1281,en,Bean
1588,Comedy Romance,32332,en,Hugo Pool
1589,Action Drama Thriller,9770,en,Mad City
1590,Drama,12616,en,One Night Stand
1591,Drama Music Romance Foreign,34838,en,The Tango Lesson
1592,War Drama History,14905,en,Welcome to Sarajevo
1593,Mystery Crime Drama Thriller,14583,en,Deceiver
1594,Drama Crime Thriller,11975,en,The Rainmaker
1595,Drama,4995,en,Boogie Nights
1596,Crime Drama Romance Thriller,9281,en,Witness
1597,Crime Thriller,45928,en,Incognito
1598,Adventure Action Thriller Science Fiction,563,en,Starship Troopers
1599,Comedy Drama,61337,en,Critical Care
1600,Drama,19931,en,The Joy Luck Club
1601,Comedy,31535,en,Chairman of the Board
1602,Comedy Drama Fantasy Romance,10215,en,Sliding Doors
1603,Action Fantasy Science Fiction,9823,en,Mortal Kombat: Annihilation
1604,Comedy Drama,37165,en,The Truman Show
1605,Drama Romance,45609,en,The Wings of the Dove
1606,Drama Romance,38904,en,Mrs. Dalloway
1607,Drama Family Romance,45565,en,"I Love You, I Love You Not"
1608,Crime Drama Thriller,9407,en,Red Corner
1609,Action Thriller Adventure Crime,4824,en,The Jackal
1610,Animation Family,9444,en,Anastasia
1611,Comedy Thriller Crime Action,9414,en,The Man Who Knew Too Little
1612,Science Fiction Horror Action,8078,en,Alien: Resurrection
1613,Horror Science Fiction,29938,en,Alien Escape
1614,Drama History Mystery,11831,en,Amistad
1615,Drama,2895,en,The Apostle
1616,Drama History,39177,fr,Artemisia
1617,Drama History Romance,19601,en,Bent
1618,Drama,124606,en,Bang
1619,Comedy,42832,fr,The Boys
1620,Comedy Drama,22797,en,The Butcher Boy
1621,Comedy Drama,2639,en,Deconstructing Harry
1622,Comedy Family Science Fiction,9574,en,Flubber
1623,Comedy,10371,en,For Richer or Poorer
1624,Drama,489,en,Good Will Hunting
1625,,167738,en,Guy
1626,,293820,en,Tar
